num_vtx : edge_density : num_edges | num_groups_hash_level_0 num_groups_hash_level_1 ... | time_spent
15 : 0.97 : 103 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.97 : 103 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.97 : 102 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.97 : 101 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.97 : 96 | 4, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 1 ms
15 : 0.96 : 98 | 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7 | 1 ms
15 : 0.96 : 101 | 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3 | 1 ms
15 : 0.96 : 100 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.96 : 101 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.96 : 98 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.96 : 103 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.96 : 98 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 1 ms
15 : 0.96 : 101 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.94 : 104 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.94 : 99 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.94 : 94 | 4, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7 | 1 ms
15 : 0.94 : 103 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.94 : 100 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.94 : 96 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 1 ms
